,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores,Classe
113286,PR,Sim,6500.0,1300.0,4.0,4.0,média
113287,PR,Sim,5000.0,1666.0,5.0,1.0,média
113288,PR,Sim,3000.0,750.0,4.0,4.0,média baixa
113289,PR,Nao,1444.0,722.0,4.0,1.0,média baixa
113290,PR,Sim,1444.0,361.0,3.0,1.0,baixa
113291,PR,Sim,5000.0,1666.0,5.0,1.0,média
113293,PR,Sim,6200.0,6200.0,7.0,1.0,alta
113294,PR,Nao,3500.0,1750.0,5.0,1.0,média
113295,PR,Sim,3800.0,1266.0,4.0,2.0,média
113296,PR,Nao,7600.0,2533.0,6.0,2.0,alta
113297,PR,Sim,3200.0,1600.0,5.0,4.0,média
113298,PR,Sim,4500.0,1125.0,4.0,5.0,média
113299,PR,Sim,1800.0,900.0,4.0,2.0,média baixa
113300,PR,Sim,5016.0,1254.0,4.0,2.0,média
113301,PR,Sim,3200.0,800.0,4.0,1.0,média baixa
113303,PR,Nao,1510.0,755.0,4.0,2.0,média baixa
113305,PR,Nao,350.0,175.0,2.0,1.0,baixa
113306,PR,Nao,7072.0,1414.0,5.0,1.0,média
113307,PR,Nao,400.0,400.0,3.0,2.0,baixa
113308,PR,Nao,450.0,225.0,2.0,1.0,baixa
113309,PR,Sim,2040.0,510.0,3.0,2.0,média baixa
113311,PR,Nao,1732.0,346.0,3.0,1.0,baixa
113312,PR,Sim,4111.0,685.0,4.0,2.0,média baixa
113313,PR,Sim,5014.0,1253.0,4.0,2.0,média
113314,PR,Nao,1356.0,1356.0,4.0,1.0,média
113316,PR,Sim,3010.0,602.0,3.0,2.0,média baixa
113317,PR,Nao,1446.0,723.0,4.0,1.0,média baixa
113318,PR,Nao,1860.0,620.0,3.0,1.0,média baixa
113319,PR,Sim,2000.0,400.0,3.0,2.0,baixa
113321,PR,Nao,962.0,240.0,2.0,1.0,baixa
113325,PR,Nao,2000.0,666.0,3.0,2.0,média baixa
113326,PR,Nao,4205.0,1051.0,4.0,1.0,média
113327,PR,Sim,3978.0,1326.0,4.0,3.0,média
