,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores
115583,41,Sim,3327.0,1663.0,5.0,2.0
115584,41,Nao,1620.0,810.0,4.0,1.0
115585,41,Sim,4700.0,1175.0,4.0,1.0
115586,41,Sim,6500.0,2166.0,5.0,1.0
115587,41,Nao,780.0,780.0,3.0,2.0
115588,41,,,,,
115589,41,Sim,4200.0,2100.0,5.0,2.0
115590,41,,,,,
115591,41,Nao,1400.0,1400.0,4.0,1.0
115592,41,Sim,10000.0,2500.0,6.0,4.0
115593,41,Sim,4600.0,1150.0,4.0,3.0
115594,41,Sim,12000.0,2400.0,6.0,2.0
115596,41,Sim,11188.0,3729.0,6.0,5.0
115597,41,Sim,2800.0,1400.0,4.0,2.0
115598,41,Nao,400.0,400.0,3.0,1.0
115600,41,Sim,1800.0,450.0,3.0,2.0
115601,41,Sim,11300.0,5650.0,7.0,2.0
115602,41,Nao,3800.0,1266.0,4.0,2.0
115603,41,,,,,
115604,41,Sim,4000.0,2000.0,5.0,1.0
115605,41,Sim,7500.0,1875.0,5.0,3.0
115606,41,Nao,3000.0,1500.0,4.0,1.0
115608,41,Sim,2500.0,833.0,4.0,3.0
115609,41,Sim,1100.0,550.0,3.0,1.0
115610,41,Sim,1100.0,366.0,2.0,2.0
115611,41,Nao,3288.0,1644.0,5.0,1.0
115613,41,,,,,
115617,41,Nao,1576.0,1576.0,4.0,1.0
115619,41,Sim,4000.0,1000.0,4.0,2.0
115620,41,,,,,
115621,41,Sim,4600.0,1533.0,4.0,3.0
115622,41,Sim,1500.0,750.0,3.0,1.0
115623,41,Sim,2500.0,625.0,3.0,1.0
115624,41,Nao,0.0,0.0,0.0,
115625,41,Nao,4400.0,1466.0,4.0,2.0
115626,41,Sim,2450.0,612.0,3.0,1.0
115627,41,Sim,1150.0,383.0,2.0,1.0
115628,41,Nao,788.0,394.0,2.0,1.0
115629,41,Sim,1335.0,445.0,3.0,1.0
115630,41,Nao,2581.0,516.0,3.0,2.0
115631,41,Nao,1088.0,1088.0,4.0,1.0
115632,41,Sim,4300.0,1433.0,4.0,1.0
115633,41,Sim,4181.0,696.0,3.0,2.0
115634,41,Sim,4180.0,1393.0,4.0,1.0
115635,41,Sim,3802.0,1267.0,4.0,1.0
115636,41,Sim,1250.0,625.0,3.0,1.0
115637,41,Sim,2500.0,833.0,4.0,1.0
115638,41,Sim,1750.0,583.0,3.0,1.0
115639,41,,,,,
115640,41,,,,,
115641,41,Nao,3100.0,1033.0,4.0,2.0
115642,41,Sim,4850.0,1212.0,4.0,2.0
115643,41,Sim,2386.0,795.0,4.0,1.0
115644,41,Nao,3200.0,1066.0,4.0,
115645,41,Nao,3876.0,1292.0,4.0,1.0
115646,41,,,,,
115647,41,,,,,
115648,41,,,,,
115649,41,,,,,
115650,41,Sim,1100.0,1100.0,4.0,1.0
115651,41,Sim,4350.0,1087.0,4.0,1.0
115652,41,Sim,4200.0,1400.0,4.0,1.0
115653,41,Sim,5800.0,2900.0,6.0,2.0
115654,41,Sim,2400.0,600.0,3.0,2.0
115655,41,Sim,3748.0,937.0,4.0,1.0
115656,41,Sim,3300.0,825.0,4.0,1.0
115657,41,Nao,1576.0,788.0,3.0,2.0
115658,41,,,,,
115659,41,Sim,1320.0,660.0,3.0,1.0
115660,41,,,,,
115661,41,Nao,1576.0,788.0,3.0,1.0
